,Unnamed: 0,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No
81,81,Uuhvp7El,2025-01-11,18:00,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Al Feiha,Al Ittihad,ROUND 14,6.0,4.5,1.42,1.3,3.4,1.01,15.0,1.17,4.5,1.6,2.3,1.83,1.83
82,82,fZiO3z6L,2025-01-11,18:15,BELGIUM - JUPILER PRO LEAGUE,Genk,Leuven,ROUND 21,1.53,4.1,5.25,1.33,3.25,1.03,15.0,1.22,4.0,1.7,2.1,1.8,1.95
83,83,Y31Xtxp4,2025-01-11,18:30,GERMANY - BUNDESLIGA,B. Monchengladbach,Bayern Munich,ROUND 16,7.0,5.25,1.38,1.2,4.33,1.02,21.0,1.1,7.0,1.36,3.2,1.53,2.38
84,84,zRK5hKWA,2025-01-11,18:30,SPAIN - LALIGA,Espanyol,Leganes,ROUND 19,2.1,3.0,4.0,1.62,2.2,1.13,6.0,1.57,2.38,2.75,1.44,2.25,1.57
85,85,GtQjwnMM,2025-01-11,18:30,ISRAEL - LIGAT HA'AL,Ironi Tiberias,Maccabi Tel Aviv,ROUND 18,9.5,4.5,1.3,1.36,3.0,1.06,10.0,1.25,3.75,1.85,2.0,2.25,1.57
86,86,p6uWevdo,2025-01-11,18:30,SPAIN - LALIGA2,Malaga,Dep. La Coruna,ROUND 22,2.4,3.2,3.0,1.44,2.63,1.07,9.0,1.33,3.25,2.08,1.73,1.83,1.83
87,87,ENl010YN,2025-01-11,18:30,SPAIN - LALIGA2,Tenerife,Castellon,ROUND 22,2.6,3.3,2.63,1.44,2.63,1.06,10.0,1.33,3.25,2.08,1.73,1.83,1.83
88,88,vDEmLGfn,2025-01-11,18:45,NETHERLANDS - EREDIVISIE,Ajax,Waalwijk,ROUND 18,1.13,10.0,15.0,1.17,5.0,1.01,29.0,1.07,9.0,1.25,4.0,1.95,1.8
89,89,Muxt8HBi,2025-01-11,19:00,FRANCE - LIGUE 1,Reims,Nice,ROUND 17,2.6,3.5,2.63,1.36,3.0,1.04,13.0,1.25,4.0,1.8,2.0,1.67,2.1
90,90,Kpu2c0yH,2025-01-11,19:30,GREECE - SUPER LEAGUE,Olympiacos Piraeus,Aris,ROUND 18,1.27,5.0,12.0,1.36,3.0,1.04,13.0,1.25,3.75,1.85,2.0,2.38,1.53
91,91,S81vUBwH,2025-01-11,20:00,NETHERLANDS - EREDIVISIE,Zwolle,Nijmegen,ROUND 18,2.7,3.3,2.63,1.36,3.0,1.05,11.0,1.25,3.75,1.88,1.98,1.67,2.1
92,92,nyg0utYP,2025-01-11,20:00,BELGIUM - CHALLENGER PRO LEAGUE,RWDM,RFC Liege,ROUND 17,1.53,4.0,5.25,1.3,3.4,1.03,15.0,1.18,4.5,1.62,2.25,1.73,2.0
93,93,bFC5JbB6,2025-01-11,20:00,BELGIUM - CHALLENGER PRO LEAGUE,Waregem,Patro Eisden,ROUND 17,2.0,3.4,3.3,1.36,3.0,1.04,12.0,1.22,4.0,1.75,2.05,1.67,2.1
94,94,KKwz2W3F,2025-01-11,20:00,FRANCE - LIGUE 2,Lorient,Metz,ROUND 18,1.9,3.5,3.9,1.4,2.75,1.05,11.0,1.29,3.5,1.95,1.9,1.8,1.91
95,95,WnX9hJoK,2025-01-11,20:45,ITALY - SERIE A,AC Milan,Cagliari,ROUND 20,1.33,5.0,9.5,1.29,3.5,1.03,15.0,1.2,4.5,1.62,2.3,1.95,1.8
96,96,Ui66GDkR,2025-01-11,20:45,BELGIUM - JUPILER PRO LEAGUE,Charleroi,Royale Union SG,ROUND 21,3.25,3.4,2.15,1.36,3.0,1.05,11.0,1.25,3.75,1.88,1.98,1.7,2.05
97,97,Y7TBB3Nk,2025-01-11,21:00,NETHERLANDS - EREDIVISIE,PSV,AZ Alkmaar,ROUND 18,1.33,5.25,8.0,1.22,4.0,1.02,21.0,1.13,6.0,1.44,2.7,1.67,2.1
98,98,r1m8j2uJ,2025-01-11,21:00,SPAIN - LALIGA,Sevilla,Valencia,ROUND 19,2.0,3.3,4.0,1.5,2.5,1.08,8.0,1.4,3.0,2.3,1.62,2.0,1.75
99,99,AT6Yn1JU,2025-01-11,21:00,SPAIN - LALIGA2,R. Oviedo,Gijon,ROUND 22,2.1,3.1,3.75,1.57,2.25,1.1,7.0,1.44,2.63,2.4,1.53,2.1,1.67
100,100,UJKMKfec,2025-01-11,21:05,FRANCE - LIGUE 1,Rennes,Marseille,ROUND 17,3.1,3.2,2.35,1.4,2.75,1.07,9.0,1.33,3.4,2.08,1.82,1.75,2.0
